participant_id,country,iso3,region,age,age_group,sex,time_of_day,n_trials,best_rt_ms,mean_rt_ms,median_rt_ms,worst_rt_ms,sd_rt_ms,lapse_count,data_type
10021,Norway,NOR,Europe,43,35-44,male,afternoon,5,246,309,262,443,75.0,0,synthetic
10022,Norway,NOR,Europe,43,35-44,female,night,5,268,287,290,299,11.8,0,synthetic
10023,Norway,NOR,Europe,31,25-34,female,morning,5,273,292,288,309,13.3,0,synthetic
10024,Norway,NOR,Europe,37,35-44,male,afternoon,5,244,299,265,469,85.7,0,synthetic
10025,Norway,NOR,Europe,40,35-44,male,evening,5,242,266,270,290,16.2,0,synthetic
10026,Norway,NOR,Europe,14,10-17,male,afternoon,5,240,279,250,405,63.5,0,synthetic
10027,Norway,NOR,Europe,41,35-44,male,evening,5,248,320,271,418,77.8,0,synthetic
10028,Norway,NOR,Europe,53,45-54,male,morning,5,225,295,276,408,64.4,0,synthetic
10029,Norway,NOR,Europe,53,45-54,male,afternoon,5,258,290,297,319,21.2,0,synthetic
10030,Norway,NOR,Europe,18,18-24,female,evening,5,235,258,254,289,19.5,0,synthetic
10031,Norway,NOR,Europe,32,25-34,female,night,5,256,271,268,293,14.1,0,synthetic
10032,Norway,NOR,Europe,53,45-54,female,afternoon,5,273,312,288,419,53.7,0,synthetic
10033,Norway,NOR,Europe,24,18-24,male,morning,5,228,257,249,282,19.7,0,synthetic
10034,Norway,NOR,Europe,54,45-54,male,morning,5,284,319,303,395,39.2,0,synthetic
10035,Norway,NOR,Europe,27,25-34,female,afternoon,5,234,298,265,382,65.6,0,synthetic
10036,Norway,NOR,Europe,40,35-44,female,evening,5,236,309,269,500,97.2,1,synthetic
10037,Norway,NOR,Europe,17,10-17,female,morning,5,253,318,297,473,80.6,0,synthetic
10038,Norway,NOR,Europe,61,55-64,female,evening,5,271,301,305,325,21.5,0,synthetic
10039,Norway,NOR,Europe,18,18-24,male,evening,5,234,258,264,276,15.2,0,synthetic
10040,Norway,NOR,Europe,34,25-34,male,afternoon,5,241,257,256,286,16.5,0,synthetic
10041,Norway,NOR,Europe,39,35-44,unspecified,night,5,281,293,298,303,9.2,0,synthetic
10042,Norway,NOR,Europe,22,18-24,male,morning,5,205,249,265,274,26.1,0,synthetic
10043,Norway,NOR,Europe,42,35-44,female,morning,5,260,290,297,313,18.2,0,synthetic
10044,Norway,NOR,Europe,46,45-54,female,afternoon,5,262,310,277,447,69.6,0,synthetic
10045,Norway,NOR,Europe,33,25-34,male,afternoon,5,224,252,253,270,16.0,0,synthetic
10046,Norway,NOR,Europe,52,45-54,male,evening,5,261,287,277,333,27.1,0,synthetic
10047,Norway,NOR,Europe,28,25-34,female,afternoon,5,260,281,273,328,24.4,0,synthetic
10048,Norway,NOR,Europe,34,25-34,male,afternoon,5,247,295,255,436,71.5,0,synthetic
10049,Norway,NOR,Europe,23,18-24,male,afternoon,5,227,247,246,267,13.6,0,synthetic
10050,Norway,NOR,Europe,34,25-34,male,morning,5,235,253,258,260,9.4,0,synthetic
10051,Norway,NOR,Europe,51,45-54,female,afternoon,5,282,298,300,317,12.4,0,synthetic
10052,Norway,NOR,Europe,37,35-44,female,morning,5,266,304,284,405,51.1,0,synthetic
10053,Norway,NOR,Europe,29,25-34,male,morning,5,230,253,253,275,15.3,0,synthetic
10054,Norway,NOR,Europe,27,25-34,female,afternoon,5,225,271,237,416,72.9,0,synthetic
10055,Norway,NOR,Europe,39,35-44,female,night,5,274,344,381,396,53.3,0,synthetic
10056,Norway,NOR,Europe,46,45-54,female,morning,5,256,296,290,342,28.6,0,synthetic
10057,Norway,NOR,Europe,51,45-54,female,afternoon,5,285,307,289,359,28.1,0,synthetic
10058,Norway,NOR,Europe,56,55-64,male,afternoon,5,235,254,255,278,14.6,0,synthetic
10059,Norway,NOR,Europe,55,55-64,female,afternoon,5,244,334,284,493,95.1,0,synthetic
10060,Norway,NOR,Europe,53,45-54,male,evening,5,266,288,289,313,16.0,0,synthetic
10061,Norway,NOR,Europe,37,35-44,female,night,5,287,298,299,304,6.2,0,synthetic
10062,Norway,NOR,Europe,40,35-44,female,evening,5,268,292,275,350,30.9,0,synthetic
10063,Norway,NOR,Europe,49,45-54,female,night,5,277,314,295,405,46.4,0,synthetic
10064,Norway,NOR,Europe,46,45-54,female,morning,5,240,289,248,425,70.3,0,synthetic
10065,Norway,NOR,Europe,51,45-54,male,night,5,234,278,288,307,25.2,0,synthetic
10066,Norway,NOR,Europe,10,10-17,male,morning,5,276,304,299,345,22.7,0,synthetic
10067,Norway,NOR,Europe,43,35-44,male,afternoon,5,239,254,251,275,12.7,0,synthetic
10068,Norway,NOR,Europe,30,25-34,male,evening,5,265,275,273,287,8.3,0,synthetic
10069,Norway,NOR,Europe,40,35-44,female,afternoon,5,228,245,246,269,13.9,0,synthetic
10070,Norway,NOR,Europe,50,45-54,male,afternoon,5,259,287,278,325,23.9,0,synthetic
10071,Norway,NOR,Europe,18,18-24,female,morning,5,246,295,267,443,74.8,0,synthetic
10072,Norway,NOR,Europe,55,55-64,male,evening,5,294,304,303,312,6.8,0,synthetic
10073,Norway,NOR,Europe,35,35-44,male,morning,5,262,274,275,285,9.3,0,synthetic
10074,Norway,NOR,Europe,24,18-24,male,morning,5,240,277,258,374,49.6,0,synthetic
10075,Norway,NOR,Europe,16,10-17,male,morning,5,275,308,278,419,55.9,0,synthetic
10076,Norway,NOR,Europe,63,55-64,male,afternoon,5,293,336,299,476,70.6,0,synthetic
10077,Norway,NOR,Europe,29,25-34,female,evening,5,251,278,280,302,20.3,0,synthetic
10078,Norway,NOR,Europe,40,35-44,female,afternoon,5,224,251,258,270,16.6,0,synthetic
10079,Norway,NOR,Europe,43,35-44,male,afternoon,5,246,257,257,267,7.2,0,synthetic
10080,Norway,NOR,Europe,34,25-34,female,afternoon,5,253,276,263,339,32.1,0,synthetic
10081,Norway,NOR,Europe,15,10-17,male,morning,5,220,245,239,279,19.4,0,synthetic
10082,Norway,NOR,Europe,42,35-44,male,morning,5,218,245,254,259,14.7,0,synthetic
10083,Norway,NOR,Europe,56,55-64,female,afternoon,5,275,296,291,326,18.0,0,synthetic
10084,Norway,NOR,Europe,35,35-44,male,evening,5,277,306,281,409,51.7,0,synthetic
10085,Norway,NOR,Europe,52,45-54,female,morning,5,253,330,303,477,77.9,0,synthetic
10086,Norway,NOR,Europe,60,55-64,male,night,5,291,345,302,519,87.5,1,synthetic
10087,Norway,NOR,Europe,14,10-17,female,afternoon,5,250,264,261,288,13.8,0,synthetic
10088,Norway,NOR,Europe,58,55-64,male,afternoon,5,262,295,274,390,47.6,0,synthetic
10089,Norway,NOR,Europe,62,55-64,female,evening,5,281,302,307,315,12.1,0,synthetic
10090,Norway,NOR,Europe,45,45-54,female,morning,5,275,293,291,310,14.7,0,synthetic
10091,Norway,NOR,Europe,47,45-54,female,afternoon,5,224,243,248,265,15.7,0,synthetic
10092,Norway,NOR,Europe,68,65+,male,night,5,304,326,323,345,14.5,0,synthetic
10093,Norway,NOR,Europe,44,35-44,male,afternoon,5,245,254,255,268,8.6,0,synthetic
10094,Norway,NOR,Europe,67,65+,female,afternoon,5,285,351,307,548,98.8,1,synthetic
10095,Norway,NOR,Europe,53,45-54,female,morning,5,254,274,270,305,17.3,0,synthetic
10096,Norway,NOR,Europe,28,25-34,male,afternoon,5,229,240,239,253,9.0,0,synthetic
10097,Norway,NOR,Europe,32,25-34,male,night,5,293,301,300,320,10.0,0,synthetic
10098,Norway,NOR,Europe,50,45-54,male,evening,5,248,301,259,468,84.1,0,synthetic
10099,Norway,NOR,Europe,26,25-34,unspecified,afternoon,5,213,238,237,261,15.4,0,synthetic
10100,Norway,NOR,Europe,56,55-64,female,night,5,293,351,308,548,98.6,1,synthetic
10101,Norway,NOR,Europe,50,45-54,female,morning,5,276,336,287,540,102.3,1,synthetic
10102,Norway,NOR,Europe,46,45-54,female,afternoon,5,269,284,293,295,11.7,0,synthetic
10103,Norway,NOR,Europe,18,18-24,male,afternoon,5,243,292,253,461,84.3,0,synthetic
10104,Norway,NOR,Europe,45,45-54,female,evening,5,266,315,303,423,55.8,0,synthetic
10105,Norway,NOR,Europe,37,35-44,female,morning,5,253,264,259,289,13.4,0,synthetic
10106,Norway,NOR,Europe,44,35-44,female,evening,5,245,298,280,411,58.6,0,synthetic
10107,Norway,NOR,Europe,35,35-44,female,morning,5,226,252,256,277,19.4,0,synthetic
10108,Norway,NOR,Europe,24,18-24,male,afternoon,5,197,237,245,260,22.0,0,synthetic
10109,Norway,NOR,Europe,38,35-44,male,evening,5,228,246,249,255,10.2,0,synthetic
10110,Norway,NOR,Europe,32,25-34,female,morning,5,232,245,243,263,11.8,0,synthetic
10111,Norway,NOR,Europe,16,10-17,male,afternoon,5,231,245,239,260,11.8,0,synthetic
10112,Norway,NOR,Europe,64,55-64,female,afternoon,5,296,326,340,348,20.9,0,synthetic
10113,Norway,NOR,Europe,32,25-34,female,morning,5,244,284,293,327,30.6,0,synthetic
10114,Norway,NOR,Europe,30,25-34,female,night,5,273,299,282,381,41.3,0,synthetic
10115,Norway,NOR,Europe,31,25-34,female,morning,5,260,281,286,290,11.1,0,synthetic
10116,Norway,NOR,Europe,42,35-44,male,evening,5,250,275,273,292,15.6,0,synthetic
10117,Norway,NOR,Europe,42,35-44,male,morning,5,230,259,260,282,16.8,0,synthetic
10118,Norway,NOR,Europe,27,25-34,female,night,5,285,299,302,306,7.4,0,synthetic
10119,Norway,NOR,Europe,21,18-24,male,afternoon,5,253,272,274,289,15.1,0,synthetic
10120,Norway,NOR,Europe,56,55-64,female,afternoon,5,282,324,308,400,41.8,0,synthetic
10121,Norway,NOR,Europe,22,18-24,male,evening,5,241,253,248,270,11.1,0,synthetic
10122,Norway,NOR,Europe,36,35-44,male,evening,5,262,297,278,385,45.3,0,synthetic
10123,Norway,NOR,Europe,50,45-54,female,evening,5,286,307,295,330,19.1,0,synthetic
10124,Norway,NOR,Europe,26,25-34,female,evening,5,270,301,294,333,20.9,0,synthetic
10125,Norway,NOR,Europe,43,35-44,male,morning,5,280,288,281,303,9.7,0,synthetic
10126,Norway,NOR,Europe,32,25-34,female,evening,5,269,298,294,337,23.3,0,synthetic
10127,Norway,NOR,Europe,33,25-34,male,night,5,258,314,295,436,62.5,0,synthetic
10128,Norway,NOR,Europe,38,35-44,female,morning,5,219,245,240,271,18.0,0,synthetic
10129,Norway,NOR,Europe,57,55-64,female,afternoon,5,299,315,312,337,13.0,0,synthetic
10130,Norway,NOR,Europe,17,10-17,male,afternoon,5,226,239,233,261,12.8,0,synthetic
10131,Norway,NOR,Europe,50,45-54,female,evening,5,248,271,270,286,12.7,0,synthetic
10132,Norway,NOR,Europe,64,55-64,male,afternoon,5,284,322,304,387,35.9,0,synthetic
10133,Norway,NOR,Europe,45,45-54,female,afternoon,5,242,271,274,294,16.8,0,synthetic
10134,Norway,NOR,Europe,43,35-44,female,evening,5,279,303,308,315,12.6,0,synthetic
10135,Norway,NOR,Europe,52,45-54,male,evening,5,293,317,297,402,42.8,0,synthetic
10136,Norway,NOR,Europe,38,35-44,male,afternoon,5,223,267,259,352,46.5,0,synthetic
10137,Norway,NOR,Europe,10,10-17,female,afternoon,5,275,302,308,318,14.5,0,synthetic
10138,Norway,NOR,Europe,67,65+,male,morning,5,265,283,284,298,12.6,0,synthetic
10139,Norway,NOR,Europe,23,18-24,male,evening,5,248,305,258,482,89.3,0,synthetic
10140,Norway,NOR,Europe,44,35-44,male,afternoon,5,255,291,269,359,38.0,0,synthetic
10141,Norway,NOR,Europe,36,35-44,female,morning,5,243,270,268,300,18.6,0,synthetic
10142,Norway,NOR,Europe,37,35-44,male,afternoon,5,229,261,267,281,17.1,0,synthetic
10143,Norway,NOR,Europe,35,35-44,unspecified,night,5,243,265,269,295,18.9,0,synthetic
10144,Norway,NOR,Europe,55,55-64,male,evening,5,237,278,267,321,30.2,0,synthetic
10145,Norway,NOR,Europe,43,35-44,female,night,5,248,277,265,316,28.2,0,synthetic
10146,Norway,NOR,Europe,41,35-44,female,night,5,279,311,282,413,51.5,0,synthetic
10147,Norway,NOR,Europe,36,35-44,female,evening,5,263,277,273,298,12.2,0,synthetic
10148,Norway,NOR,Europe,36,35-44,male,afternoon,5,238,299,266,472,87.2,0,synthetic
10149,Norway,NOR,Europe,52,45-54,female,afternoon,5,255,349,275,543,110.8,1,synthetic
10150,Norway,NOR,Europe,36,35-44,male,morning,5,253,284,289,316,22.7,0,synthetic
10151,Norway,NOR,Europe,29,25-34,female,morning,5,241,282,281,317,25.2,0,synthetic
10152,Norway,NOR,Europe,35,35-44,female,afternoon,5,275,286,280,302,10.7,0,synthetic
10153,Norway,NOR,Europe,34,25-34,unspecified,afternoon,5,289,301,301,311,9.0,0,synthetic
10154,Norway,NOR,Europe,27,25-34,female,morning,5,226,311,283,490,92.5,0,synthetic
10155,Norway,NOR,Europe,62,55-64,male,evening,5,294,310,309,341,16.7,0,synthetic
10156,Norway,NOR,Europe,34,25-34,male,afternoon,5,235,252,247,268,13.0,0,synthetic
10157,Norway,NOR,Europe,37,35-44,female,night,5,247,272,272,299,19.2,0,synthetic
10158,Norway,NOR,Europe,29,25-34,male,morning,5,232,247,249,256,8.1,0,synthetic
10159,Norway,NOR,Europe,36,35-44,male,night,5,271,290,289,302,11.3,0,synthetic
10160,Norway,NOR,Europe,50,45-54,female,afternoon,5,270,287,289,305,13.5,0,synthetic
10161,Norway,NOR,Europe,43,35-44,male,evening,5,245,331,267,461,92.5,0,synthetic
10162,Norway,NOR,Europe,38,35-44,female,evening,5,234,270,260,345,39.7,0,synthetic
10163,Norway,NOR,Europe,34,25-34,female,afternoon,5,259,270,269,281,8.1,0,synthetic
10164,Norway,NOR,Europe,47,45-54,male,morning,5,209,250,266,271,24.8,0,synthetic
10165,Norway,NOR,Europe,29,25-34,female,afternoon,5,228,283,242,447,83.4,0,synthetic
10166,Norway,NOR,Europe,33,25-34,male,afternoon,5,246,304,276,455,76.7,0,synthetic
10167,Norway,NOR,Europe,38,35-44,female,afternoon,5,243,259,261,274,12.8,0,synthetic
10168,Norway,NOR,Europe,43,35-44,female,afternoon,5,262,344,280,525,102.3,1,synthetic
10169,Norway,NOR,Europe,61,55-64,male,afternoon,5,268,280,281,290,7.7,0,synthetic
10170,Norway,NOR,Europe,27,25-34,male,morning,5,227,268,245,391,62.4,0,synthetic
10171,Norway,NOR,Europe,34,25-34,male,afternoon,5,255,267,269,278,9.4,0,synthetic
10172,Norway,NOR,Europe,54,45-54,male,night,5,244,289,290,332,28.0,0,synthetic
10173,Norway,NOR,Europe,47,45-54,male,afternoon,5,251,275,271,297,16.1,0,synthetic
10174,Norway,NOR,Europe,40,35-44,male,evening,5,213,235,240,252,13.1,0,synthetic
10175,Norway,NOR,Europe,42,35-44,male,morning,5,235,256,249,278,17.0,0,synthetic
10176,Norway,NOR,Europe,41,35-44,male,evening,5,242,272,285,292,20.2,0,synthetic
10177,Norway,NOR,Europe,45,45-54,male,morning,5,266,351,278,504,99.2,1,synthetic
10178,Norway,NOR,Europe,42,35-44,male,evening,5,261,276,274,293,10.3,0,synthetic
10179,Norway,NOR,Europe,47,45-54,female,evening,5,279,374,299,514,102.3,1,synthetic
10180,Norway,NOR,Europe,59,55-64,female,afternoon,5,294,311,314,329,13.4,0,synthetic
10181,Norway,NOR,Europe,63,55-64,female,evening,5,287,311,296,365,28.9,0,synthetic
10182,Norway,NOR,Europe,25,25-34,male,afternoon,5,235,339,273,468,98.2,0,synthetic
10183,Norway,NOR,Europe,63,55-64,female,evening,5,285,313,319,328,16.0,0,synthetic
10184,Norway,NOR,Europe,55,55-64,unspecified,morning,5,283,384,385,527,85.5,1,synthetic
10185,Norway,NOR,Europe,35,35-44,female,evening,5,278,288,281,313,13.0,0,synthetic
10186,Norway,NOR,Europe,50,45-54,female,afternoon,5,241,315,300,384,52.4,0,synthetic
10187,Norway,NOR,Europe,64,55-64,female,evening,5,311,334,338,347,12.7,0,synthetic
10188,Norway,NOR,Europe,30,25-34,male,afternoon,5,241,281,259,395,57.3,0,synthetic
10189,Norway,NOR,Europe,36,35-44,female,afternoon,5,265,277,271,294,12.5,0,synthetic
10190,Norway,NOR,Europe,50,45-54,male,morning,5,251,267,263,297,15.6,0,synthetic
10191,Norway,NOR,Europe,47,45-54,female,morning,5,270,283,284,297,9.6,0,synthetic
10192,Norway,NOR,Europe,42,35-44,male,morning,5,292,305,307,320,10.9,0,synthetic
10193,Norway,NOR,Europe,41,35-44,male,afternoon,5,244,259,260,279,12.1,0,synthetic
10194,Norway,NOR,Europe,38,35-44,female,afternoon,5,236,258,261,278,14.1,0,synthetic
10195,Norway,NOR,Europe,53,45-54,male,evening,5,275,310,294,386,39.9,0,synthetic
10196,Norway,NOR,Europe,40,35-44,female,morning,5,237,265,270,293,21.6,0,synthetic
10197,Norway,NOR,Europe,36,35-44,male,afternoon,5,227,283,279,386,58.1,0,synthetic
10198,Norway,NOR,Europe,49,45-54,female,morning,5,275,303,300,327,18.8,0,synthetic
10199,Norway,NOR,Europe,36,35-44,female,afternoon,5,249,275,279,299,17.4,0,synthetic
10200,Norway,NOR,Europe,56,55-64,female,afternoon,5,249,261,260,276,8.8,0,synthetic
10201,Egypt,EGY,Africa,35,35-44,male,afternoon,5,232,251,252,263,10.3,0,synthetic
10202,Egypt,EGY,Africa,48,45-54,female,afternoon,5,259,304,260,482,88.5,0,synthetic
10203,Egypt,EGY,Africa,10,10-17,male,morning,5,268,294,297,314,15.7,0,synthetic
10204,Egypt,EGY,Africa,42,35-44,female,evening,5,308,389,350,487,80.0,0,synthetic
10205,Egypt,EGY,Africa,23,18-24,male,afternoon,5,229,241,238,259,10.4,0,synthetic
10206,Egypt,EGY,Africa,38,35-44,female,morning,5,235,295,258,456,81.6,0,synthetic
10207,Egypt,EGY,Africa,17,10-17,female,morning,5,264,281,278,304,14.0,0,synthetic
10208,Egypt,EGY,Africa,18,18-24,male,afternoon,5,282,290,285,306,8.8,0,synthetic
10209,Egypt,EGY,Africa,28,25-34,female,morning,5,269,320,298,447,64.8,0,synthetic
10210,Egypt,EGY,Africa,34,25-34,female,night,5,271,308,315,327,19.2,0,synthetic
10211,Egypt,EGY,Africa,14,10-17,male,morning,5,241,347,284,512,113.3,1,synthetic
10212,Egypt,EGY,Africa,44,35-44,male,evening,5,231,264,266,281,17.7,0,synthetic
10213,Egypt,EGY,Africa,33,25-34,female,morning,5,280,286,283,295,5.1,0,synthetic
10214,Egypt,EGY,Africa,27,25-34,male,morning,5,262,305,274,416,57.5,0,synthetic
10215,Egypt,EGY,Africa,29,25-34,female,evening,5,251,284,282,316,20.9,0,synthetic
10216,Egypt,EGY,Africa,32,25-34,male,afternoon,5,257,276,277,302,16.5,0,synthetic
10217,Egypt,EGY,Africa,26,25-34,male,morning,5,251,283,267,357,38.2,0,synthetic
10218,Egypt,EGY,Africa,52,45-54,female,evening,5,273,299,295,321,19.2,0,synthetic
10219,Egypt,EGY,Africa,13,10-17,female,afternoon,5,260,279,277,302,16.0,0,synthetic
10220,Egypt,EGY,Africa,22,18-24,female,evening,5,226,256,257,276,17.8,0,synthetic
10221,Egypt,EGY,Africa,11,10-17,male,morning,5,279,298,298,315,15.6,0,synthetic
10222,Egypt,EGY,Africa,11,10-17,male,evening,5,262,333,282,534,101.7,1,synthetic
10223,Egypt,EGY,Africa,10,10-17,female,night,5,346,415,426,497,57.3,0,synthetic
10224,Egypt,EGY,Africa,31,25-34,male,evening,5,263,280,277,303,14.2,0,synthetic
10225,Egypt,EGY,Africa,10,10-17,female,morning,5,303,318,307,339,16.4,0,synthetic
10226,Egypt,EGY,Africa,10,10-17,female,morning,5,296,312,309,325,10.9,0,synthetic
10227,Egypt,EGY,Africa,11,10-17,male,evening,5,281,321,310,407,44.8,0,synthetic
10228,Egypt,EGY,Africa,24,18-24,male,afternoon,5,237,272,276,299,21.2,0,synthetic
10229,Egypt,EGY,Africa,31,25-34,female,morning,5,246,299,270,444,73.0,0,synthetic
10230,Egypt,EGY,Africa,17,10-17,female,evening,5,290,308,301,339,17.9,0,synthetic
10231,Egypt,EGY,Africa,25,25-34,female,evening,5,256,267,266,284,10.2,0,synthetic
10232,Egypt,EGY,Africa,44,35-44,female,evening,5,250,283,278,312,22.0,0,synthetic
10233,Egypt,EGY,Africa,23,18-24,female,afternoon,5,244,307,252,524,108.9,1,synthetic
10234,Egypt,EGY,Africa,21,18-24,unspecified,morning,5,261,292,273,388,48.2,0,synthetic
10235,Egypt,EGY,Africa,39,35-44,female,afternoon,5,252,309,275,471,82.0,0,synthetic
10236,Egypt,EGY,Africa,27,25-34,male,night,5,251,271,272,293,15.6,0,synthetic
10237,Egypt,EGY,Africa,31,25-34,male,morning,5,263,282,279,305,14.8,0,synthetic
10238,Egypt,EGY,Africa,27,25-34,male,morning,5,248,268,265,284,13.0,0,synthetic
10239,Egypt,EGY,Africa,22,18-24,male,afternoon,5,256,265,263,274,6.1,0,synthetic
10240,Egypt,EGY,Africa,10,10-17,male,evening,5,273,307,313,346,27.6,0,synthetic
10241,Egypt,EGY,Africa,39,35-44,male,night,5,259,321,298,469,75.8,0,synthetic
10242,Egypt,EGY,Africa,40,35-44,male,evening,5,254,307,289,412,54.8,0,synthetic
10243,Egypt,EGY,Africa,47,45-54,male,afternoon,5,240,283,265,373,47.4,0,synthetic
10244,Egypt,EGY,Africa,12,10-17,female,morning,5,286,303,298,341,20.1,0,synthetic
10245,Egypt,EGY,Africa,35,35-44,male,evening,5,260,322,291,488,84.5,0,synthetic
10246,Egypt,EGY,Africa,14,10-17,female,afternoon,5,272,303,288,381,39.4,0,synthetic
10247,Egypt,EGY,Africa,15,10-17,male,evening,5,287,296,296,305,5.9,0,synthetic
10248,Egypt,EGY,Africa,10,10-17,unspecified,afternoon,5,279,352,299,556,103.4,1,synthetic
10249,Egypt,EGY,Africa,31,25-34,female,afternoon,5,257,286,268,368,41.7,0,synthetic
10250,Egypt,EGY,Africa,35,35-44,female,evening,5,245,359,284,502,109.8,1,synthetic
10251,Egypt,EGY,Africa,46,45-54,male,morning,5,263,278,275,301,12.2,0,synthetic
10252,Egypt,EGY,Africa,29,25-34,female,morning,5,247,282,256,378,49.0,0,synthetic
10253,Egypt,EGY,Africa,25,25-34,male,evening,5,249,326,267,574,124.4,1,synthetic
10254,Egypt,EGY,Africa,38,35-44,female,morning,5,272,330,302,457,66.0,0,synthetic
10255,Egypt,EGY,Africa,32,25-34,female,morning,5,259,271,269,288,9.8,0,synthetic
10256,Egypt,EGY,Africa,26,25-34,female,evening,5,248,295,279,390,50.1,0,synthetic
10257,Egypt,EGY,Africa,24,18-24,unspecified,night,5,277,291,291,314,13.2,0,synthetic
10258,Egypt,EGY,Africa,35,35-44,female,afternoon,5,233,320,268,422,82.4,0,synthetic
10259,Egypt,EGY,Africa,23,18-24,male,afternoon,5,226,252,248,275,19.1,0,synthetic
10260,Egypt,EGY,Africa,10,10-17,female,afternoon,5,293,318,322,350,19.6,0,synthetic
10261,Egypt,EGY,Africa,19,18-24,male,night,5,239,323,278,442,85.0,0,synthetic
10262,Egypt,EGY,Africa,53,45-54,female,morning,5,273,293,290,321,15.6,0,synthetic
10263,Egypt,EGY,Africa,42,35-44,male,night,5,315,349,326,419,38.6,0,synthetic
10264,Egypt,EGY,Africa,35,35-44,female,afternoon,5,238,282,282,328,28.6,0,synthetic
10265,Egypt,EGY,Africa,61,55-64,female,morning,5,287,335,306,456,61.3,0,synthetic
10266,Egypt,EGY,Africa,31,25-34,male,morning,5,267,369,303,505,103.0,1,synthetic
10267,Egypt,EGY,Africa,35,35-44,male,evening,5,221,251,254,270,17.3,0,synthetic
10268,Egypt,EGY,Africa,26,25-34,male,evening,5,245,260,260,277,11.9,0,synthetic
10269,Egypt,EGY,Africa,29,25-34,female,morning,5,273,290,292,306,11.3,0,synthetic
10270,Egypt,EGY,Africa,27,25-34,female,afternoon,5,226,249,252,261,12.8,0,synthetic
10271,Egypt,EGY,Africa,48,45-54,male,afternoon,5,260,330,297,422,64.1,0,synthetic
10272,Egypt,EGY,Africa,33,25-34,male,morning,5,238,257,251,280,14.5,0,synthetic
10273,Egypt,EGY,Africa,70,65+,female,evening,5,332,355,337,420,32.8,0,synthetic
10274,Egypt,EGY,Africa,26,25-34,female,evening,5,264,281,277,299,12.8,0,synthetic
10275,Egypt,EGY,Africa,31,25-34,female,afternoon,5,259,285,285,310,19.4,0,synthetic
10276,Egypt,EGY,Africa,20,18-24,female,afternoon,5,240,252,246,272,11.2,0,synthetic
10277,Egypt,EGY,Africa,13,10-17,male,evening,5,252,273,269,307,18.8,0,synthetic
10278,Egypt,EGY,Africa,22,18-24,female,night,5,233,262,263,281,17.9,0,synthetic
10279,Egypt,EGY,Africa,35,35-44,male,afternoon,5,236,276,265,355,42.5,0,synthetic
10280,Egypt,EGY,Africa,28,25-34,male,morning,5,251,260,260,267,5.2,0,synthetic
10281,Egypt,EGY,Africa,10,10-17,male,afternoon,5,260,298,271,403,53.3,0,synthetic
10282,Egypt,EGY,Africa,41,35-44,male,evening,5,267,287,293,302,15.7,0,synthetic
10283,Egypt,EGY,Africa,46,45-54,female,morning,5,270,307,309,331,22.9,0,synthetic
10284,Egypt,EGY,Africa,28,25-34,female,evening,5,252,280,275,327,27.1,0,synthetic
10285,Egypt,EGY,Africa,23,18-24,female,evening,5,262,277,278,295,10.8,0,synthetic
10286,Egypt,EGY,Africa,10,10-17,male,afternoon,5,265,320,305,453,69.4,0,synthetic
10287,Egypt,EGY,Africa,29,25-34,female,morning,5,256,294,284,379,44.0,0,synthetic
10288,Egypt,EGY,Africa,18,18-24,female,evening,5,268,284,284,295,10.3,0,synthetic
10289,Egypt,EGY,Africa,10,10-17,male,afternoon,5,273,294,296,306,11.1,0,synthetic
10290,Egypt,EGY,Africa,42,35-44,female,morning,5,268,352,284,485,93.0,0,synthetic
10291,Egypt,EGY,Africa,46,45-54,male,afternoon,5,226,255,263,279,22.9,0,synthetic
10292,Egypt,EGY,Africa,16,10-17,male,afternoon,5,242,258,259,281,14.1,0,synthetic
10293,Egypt,EGY,Africa,20,18-24,female,afternoon,5,257,313,298,416,53.9,0,synthetic
10294,Egypt,EGY,Africa,29,25-34,female,afternoon,5,236,266,267,288,18.5,0,synthetic
10295,Egypt,EGY,Africa,43,35-44,female,evening,5,264,281,285,291,9.5,0,synthetic
10296,Egypt,EGY,Africa,27,25-34,male,night,5,238,268,274,286,17.0,0,synthetic
10297,Egypt,EGY,Africa,33,25-34,female,evening,5,273,320,281,465,73.7,0,synthetic
10298,Egypt,EGY,Africa,37,35-44,male,morning,5,230,255,258,285,19.4,0,synthetic
10299,Egypt,EGY,Africa,32,25-34,male,afternoon,5,252,315,282,493,90.0,0,synthetic
10300,Egypt,EGY,Africa,21,18-24,female,morning,5,252,276,279,301,20.9,0,synthetic
10301,Egypt,EGY,Africa,10,10-17,male,morning,5,284,320,325,343,20.5,0,synthetic
10302,Egypt,EGY,Africa,19,18-24,male,morning,5,251,268,273,288,15.0,0,synthetic
10303,Egypt,EGY,Africa,28,25-34,male,afternoon,5,250,258,257,268,5.8,0,synthetic
10304,Egypt,EGY,Africa,40,35-44,male,afternoon,5,253,279,277,294,15.1,0,synthetic
10305,Egypt,EGY,Africa,11,10-17,male,evening,5,260,281,272,309,19.0,0,synthetic
10306,Egypt,EGY,Africa,34,25-34,female,morning,5,253,264,262,277,9.3,0,synthetic
10307,Egypt,EGY,Africa,25,25-34,male,afternoon,5,261,286,287,311,17.8,0,synthetic
10308,Egypt,EGY,Africa,18,18-24,male,afternoon,5,215,274,234,429,78.8,0,synthetic
10309,Egypt,EGY,Africa,27,25-34,female,evening,5,273,293,299,310,13.2,0,synthetic
